gender,age,experience_years,hired
Male,36,18,Yes
Non-Binary,23,0,No
Male,35,19,No
Female,55,32,No
Non-Binary,24,1,No
Female,24,8,Yes
Male,62,40,No
Female,36,15,Yes
Male,60,44,Yes
Male,40,17,Yes
Male,49,28,No
Male,52,30,No
Male,64,43,Yes
Female,42,22,No
Female,61,45,No
Male,48,32,Yes
Male,61,41,No
Male,58,35,Yes
Male,57,39,Yes
Female,26,6,Yes
Male,56,36,No
Female,26,2,No
Female,34,9,No
Male,48,27,Yes
Male,29,5,No
Male,39,17,Yes
Male,64,48,No
Male,28,7,Yes
Female,25,8,No
Male,39,19,Yes
Male,40,21,Yes
Male,26,4,Yes
Male,57,40,Yes
Non-Binary,53,33,Yes
Female,22,1,No
Male,64,44,Yes
Female,36,13,No
Male,62,41,No
Male,21,0,Yes
Male,61,39,No
Male,31,15,No
Female,32,10,Yes
Male,57,43,Yes
Male,55,35,No
Male,31,10,Yes
Female,46,24,Yes
Male,45,26,No
Female,59,41,No
Male,24,0,Yes
Male,51,31,Yes
Female,55,29,No
Male,64,46,Yes
Female,57,39,Yes
Male,35,15,No
Male,29,9,Yes
Male,56,31,No
Female,34,12,Yes
Female,30,8,Yes
Non-Binary,28,6,No
Female,37,19,Yes
Male,52,35,Yes
Male,28,9,Yes
Male,60,39,No
Male,34,11,Yes
Male,55,35,Yes
Male,55,35,No
Female,20,0,No
Male,47,25,No
Female,52,33,No
Female,20,2,No
Male,25,1,Yes
Male,30,8,Yes
Male,46,28,No
Non-Binary,24,6,No
Male,29,9,Yes
Female,47,28,Yes
Female,35,15,Yes
Female,62,44,Yes
Female,45,21,Yes
Male,47,27,Yes
Female,33,10,Yes
Female,32,15,No
Non-Binary,20,0,No
Female,54,35,Yes
Non-Binary,34,11,Yes
Female,48,30,Yes
Female,50,31,No
Female,31,11,No
Male,24,9,Yes
Female,51,28,Yes
Male,29,11,No
Male,24,7,No
Female,46,28,Yes
Non-Binary,58,35,No
Male,40,19,Yes
Male,35,13,Yes
Female,48,27,No
Male,34,11,Yes
Male,57,35,No
Male,26,10,No
Non-Binary,37,16,No
Male,38,18,No
Male,36,13,No
Female,33,12,Yes
Male,60,42,Yes
Male,29,10,No
Male,44,28,Yes
Non-Binary,60,36,Yes
Male,63,40,Yes
Male,28,6,Yes
Female,35,19,Yes
Female,43,23,Yes
Male,40,15,No
Male,53,36,Yes
Male,58,38,No
Female,26,8,No
Male,26,10,No
Male,47,24,No
Non-Binary,54,38,No
Female,29,8,No
Male,57,35,Yes
Female,51,31,No
Male,53,29,Yes
Male,43,22,Yes
Male,60,39,Yes
Female,60,37,Yes
Male,21,0,Yes
Male,61,44,Yes
Male,23,2,Yes
Female,20,0,No
Female,41,22,No
Female,30,12,Yes
Female,30,9,No
Male,64,40,Yes
Male,33,5,Yes
Non-Binary,46,23,No
Male,52,35,Yes
Male,47,29,No
Male,42,19,No
Male,28,7,No
Female,37,19,Yes
Male,62,41,No
Female,43,25,Yes
Female,46,25,Yes
Male,54,35,No
Male,23,2,Yes
Non-Binary,41,18,No
Male,30,13,Yes
Female,26,1,No
Male,60,38,No
Male,56,35,Yes
Male,53,35,No
Female,31,8,No
Female,23,3,No
Female,64,39,No
Non-Binary,21,2,No
Female,20,5,No
Male,37,11,Yes
Male,42,19,Yes
Female,53,35,Yes
Female,23,11,No
Male,61,42,Yes
Male,64,41,Yes
Male,38,17,No
Female,59,35,No
Female,61,43,Yes
Male,59,42,No
Female,60,44,Yes
Female,28,7,No
Male,42,19,Yes
Female,32,16,Yes
Female,20,4,No
Male,31,8,No
Male,29,7,Yes
Non-Binary,46,28,No
Male,38,17,Yes
Female,59,39,Yes
Male,51,26,No
Male,41,17,Yes
Male,44,23,No
Male,30,7,Yes
Male,30,6,Yes
Male,45,24,Yes
Male,35,12,Yes
Female,48,28,No
Female,49,31,No
Female,30,9,Yes
Female,20,0,Yes
Male,25,8,No
Female,32,14,Yes
Female,46,28,Yes
Male,62,34,Yes
Male,54,32,No
Male,52,30,No
Male,33,10,Yes
Male,62,45,No
Female,41,19,Yes
Male,61,36,Yes
Male,40,20,Yes
Female,21,0,No
Female,24,1,No
Male,34,17,Yes
Male,39,20,Yes
Male,45,26,Yes
Female,43,24,No
Male,54,37,Yes
Male,43,22,Yes
Male,45,21,Yes
Male,60,39,Yes
Male,41,16,Yes
Female,46,22,No
Male,38,22,Yes
Female,56,32,No
Male,55,31,No
Male,48,30,Yes
Male,59,41,Yes
Male,58,33,Yes
Male,62,42,No
Female,31,9,Yes
Female,63,43,No
Male,35,14,No
Male,50,25,No
Male,34,12,No
Male,52,33,Yes
Non-Binary,34,19,No
Female,51,32,No
Male,41,19,No
Female,25,1,Yes
Male,49,28,No
Female,60,38,No
Female,36,16,No
Male,63,42,No
Male,21,2,Yes
Female,35,13,No
Male,31,16,Yes
Male,64,45,No
Male,31,8,No
Female,58,41,No
Male,36,12,Yes
Male,61,38,Yes
Female,60,37,Yes
Female,25,8,No
Male,60,39,Yes
Male,45,23,Yes
Female,20,0,No
Male,35,16,Yes
Female,59,43,No
Female,35,10,No
Male,35,18,Yes
Female,58,31,Yes
Male,48,30,Yes
Male,45,28,Yes
Non-Binary,49,32,No
Male,52,33,Yes
Male,62,38,Yes
Male,39,21,No
Female,56,32,Yes
Female,32,9,No
Male,27,5,No
Male,51,29,No
Male,37,17,Yes
Female,64,41,Yes
Male,60,40,No
Female,30,5,No
Male,57,37,Yes
Male,62,41,No
Male,33,16,Yes
Male,59,42,No
Male,52,31,Yes
Male,60,34,No
Male,42,17,No
Male,26,9,Yes
Female,34,13,No
Male,34,19,Yes
Female,28,10,Yes
Male,40,20,Yes
Male,56,36,Yes
Female,58,34,Yes
Female,47,25,No
Male,63,44,Yes
Non-Binary,25,3,No
Female,29,10,Yes
Male,34,17,Yes
Male,43,22,Yes
Male,23,1,Yes
Male,54,31,No
Male,34,16,No
Male,56,38,Yes
Female,21,7,Yes
Male,59,39,Yes
Female,47,26,No
Male,24,5,No
Male,42,21,Yes
Male,28,5,Yes
Female,26,6,Yes
Male,23,4,Yes
Male,38,19,Yes
Male,27,8,Yes
Female,50,33,Yes
Male,33,14,Yes
Male,48,28,No
Male,28,4,No
Male,56,36,Yes
Female,25,4,Yes
Male,61,37,No
Female,47,28,No
Female,64,45,Yes
Male,29,10,No
Male,64,45,Yes
Male,22,2,Yes
Male,31,10,Yes
Female,55,40,Yes
Male,30,10,No
Male,28,0,Yes
Male,25,0,Yes
Male,31,14,Yes
Male,60,34,No
Male,27,5,No
Female,60,36,No
Male,32,11,No
Male,62,43,No
Male,28,6,Yes
Male,39,16,No
Female,59,41,Yes
Male,29,16,No
Female,60,41,Yes
Male,46,23,No
Male,23,5,No
Female,29,14,Yes
Female,38,21,No
Male,29,4,Yes
Male,42,23,Yes
Female,55,33,No
Male,60,40,Yes
Male,28,6,Yes
Male,21,3,Yes
Male,38,16,Yes
Female,27,11,Yes
Male,45,24,Yes
Male,55,34,No
Female,30,11,Yes
Male,22,3,No
Male,49,30,No
Male,37,16,Yes
Female,36,20,No
Female,28,10,No
Male,49,28,No
Male,35,17,No
Non-Binary,27,6,Yes
Non-Binary,60,41,No
Male,45,27,Yes
Female,24,4,No
Female,24,1,Yes
Male,43,19,Yes
Male,33,13,No
Female,24,1,No
Male,55,38,Yes
Male,44,19,No
Male,36,19,Yes
Male,25,5,Yes
Male,26,3,Yes
Male,34,12,Yes
Male,25,4,No
Male,51,32,No
Female,61,37,No
Female,59,36,Yes
Male,46,25,No
Female,59,38,Yes
Male,24,6,Yes
Male,35,15,Yes
Male,30,8,Yes
Male,58,38,No
Female,44,24,No
Male,21,0,Yes
Male,47,27,Yes
Male,26,0,Yes
Male,57,39,Yes
Female,20,1,Yes
Female,37,21,No
Male,31,8,Yes
Female,27,8,No
Female,39,13,No
Male,54,28,No
Female,61,40,Yes
Female,35,13,No
Male,52,35,Yes
Female,59,42,Yes
Female,44,27,Yes
Male,38,19,Yes
Male,54,35,Yes
Female,35,11,Yes
Male,35,19,Yes
Male,44,27,Yes
Male,51,26,No
Non-Binary,63,44,No
Male,47,25,Yes
Female,28,13,Yes
Male,37,14,Yes
Male,42,22,Yes
Non-Binary,49,29,Yes
Female,51,30,No
Male,43,29,Yes
Male,30,15,Yes
Male,45,20,Yes
Male,30,11,Yes
Male,39,18,Yes
Male,63,45,Yes
Male,37,17,No
Non-Binary,53,30,Yes
Male,55,31,Yes
Male,23,1,No
Male,40,19,Yes
Female,45,25,Yes
Male,33,11,Yes
Female,45,30,Yes
Female,32,13,No
Non-Binary,45,27,Yes
Male,60,39,Yes
Non-Binary,34,10,Yes
Male,46,28,Yes
Female,42,19,No
Male,41,14,Yes
Male,29,10,Yes
Male,24,1,No
Male,23,1,Yes
Male,55,37,Yes
Female,35,12,No
Male,51,26,Yes
Male,30,13,Yes
Non-Binary,58,37,No
Male,52,35,Yes
Male,54,35,Yes
Male,23,4,Yes
Male,42,22,Yes
Female,22,2,Yes
Female,39,22,No
Male,20,2,Yes
Female,52,30,Yes
Male,29,10,Yes
Male,63,41,Yes
Male,22,1,Yes
Female,51,32,Yes
Male,64,42,Yes
Female,57,37,No
Male,50,31,Yes
Female,40,18,No
Male,43,25,No
Non-Binary,43,21,Yes
Male,29,11,Yes
Male,25,5,Yes
Male,47,27,No
Female,20,0,Yes
Male,63,42,Yes
Male,29,9,Yes
Male,60,43,Yes
Male,49,28,No
Female,34,17,Yes
Non-Binary,33,10,Yes
Female,43,24,Yes
Female,29,7,Yes
Male,45,29,Yes
Female,20,4,No
Female,39,19,Yes
Male,48,26,No
Male,53,28,Yes
Male,21,2,Yes
Non-Binary,21,1,Yes
Male,21,3,No
Non-Binary,27,2,Yes
Male,44,24,Yes
Male,37,18,Yes
Male,64,41,Yes
Male,36,16,Yes
Non-Binary,49,26,No
Female,27,4,Yes
Male,61,39,Yes
Female,48,27,Yes
Male,38,21,No
Female,56,35,Yes
Male,43,20,Yes
Male,37,19,No
Female,29,12,Yes
Non-Binary,35,17,No
Female,60,44,No
Female,61,41,No
Male,63,43,Yes
Female,24,1,Yes
Male,34,18,Yes
Male,42,21,Yes
Male,50,29,Yes
Male,49,27,Yes
Female,26,7,Yes
Male,39,19,Yes
Male,58,38,Yes
Male,22,1,Yes
Female,22,1,No
Male,50,29,No
Female,26,10,Yes
Male,20,0,No
Male,46,27,Yes
Male,20,3,Yes
Female,25,0,No
Male,39,18,No
Male,58,40,No
Female,63,40,Yes
Female,22,2,Yes
Male,21,0,No
Male,51,31,Yes
Female,39,22,No
Non-Binary,55,40,No
Male,46,26,Yes
Male,39,15,No
Male,38,17,Yes
Non-Binary,40,14,No
Female,62,41,Yes
Male,39,21,No
Male,24,0,Yes
Female,39,18,Yes
Non-Binary,31,8,No
Male,29,14,Yes
Male,41,22,No
Male,57,39,No
Female,47,27,Yes
Female,31,13,Yes
Female,58,41,No
Male,29,9,Yes
Male,54,32,Yes
Male,63,40,No
Female,59,44,No
Male,56,38,Yes
Female,36,9,No
Female,46,25,Yes
Male,48,29,No
Male,45,30,No
Male,28,4,Yes
Male,31,12,No
Male,62,40,Yes
Male,45,21,Yes
Female,52,36,No
Female,51,28,Yes
Female,30,12,No
Male,48,23,No
Female,27,5,Yes
Male,44,25,Yes
Non-Binary,39,21,No
Male,40,21,No
Female,23,5,No
Male,55,34,Yes
Male,62,46,No
Female,48,29,No
Female,38,20,No
Male,45,26,Yes
Female,55,36,No
Male,44,20,No
Male,42,19,Yes
Female,57,35,No
Male,47,28,Yes
Female,60,38,No
Male,30,9,Yes
Male,48,27,Yes
Male,63,47,Yes
Female,39,20,Yes
Female,28,3,Yes
Female,43,23,Yes
Female,60,39,Yes
Female,32,11,Yes
Male,21,1,No
Male,36,19,No
Male,46,23,No
Non-Binary,57,37,No
Male,21,1,Yes
Female,52,31,No
Female,24,2,No
Female,33,10,Yes
Male,46,24,No
Male,55,37,No
Female,46,24,Yes
Female,33,12,No
Female,34,10,No
Male,46,24,Yes
Female,27,7,No
Male,40,14,Yes
Male,53,36,No
Female,47,25,No
Non-Binary,43,28,Yes
Non-Binary,36,17,Yes
Male,25,0,Yes
Female,57,37,No
Female,38,17,Yes
Female,20,0,No
Female,57,41,Yes
Male,45,27,Yes
Female,24,3,Yes
Male,23,0,Yes
Male,44,26,Yes
Non-Binary,64,45,Yes
Male,64,47,Yes
Non-Binary,41,20,Yes
Male,32,12,Yes
Female,42,21,Yes
Female,52,32,No
Male,44,19,No
Female,29,9,Yes
Male,37,18,Yes
Female,46,24,Yes
Female,45,26,No
Male,61,43,Yes
Male,21,5,Yes
Male,29,5,Yes
Female,39,21,No
Male,57,41,No
Male,22,0,Yes
Female,29,13,Yes
Female,47,24,No
Male,38,18,Yes
Female,36,10,Yes
Male,63,37,Yes
Male,63,38,Yes
Female,42,26,Yes
Male,47,24,Yes
Male,46,23,Yes
Female,51,32,Yes
Male,57,34,No
Male,31,14,Yes
Female,39,24,Yes
Male,25,0,Yes
Female,22,3,No
Male,22,0,Yes
Male,42,17,No
Male,28,9,Yes
Female,52,29,Yes
Female,55,35,No
Male,31,11,Yes
Female,45,20,Yes
Female,56,37,No
Male,29,9,No
Female,63,43,Yes
Female,30,8,Yes
Female,38,19,Yes
Male,24,0,Yes
Female,43,19,No
Male,54,34,No
Male,47,30,No
Male,49,27,No
Female,38,19,Yes
Male,25,5,Yes
Male,64,45,Yes
Non-Binary,58,35,No
Male,38,17,No
Female,50,29,Yes
Male,63,47,Yes
Male,30,6,No
Male,36,11,Yes
Male,36,24,Yes
Male,34,14,Yes
Male,25,6,No
Male,51,32,Yes
Female,59,41,No
Male,30,12,Yes
Male,32,14,Yes
Female,36,19,Yes
Male,47,27,Yes
Female,37,20,No
Male,47,32,No
Female,35,15,No
Male,55,36,No
Male,59,37,Yes
Male,39,18,Yes
Female,58,39,Yes
Male,46,24,No
Male,59,39,Yes
Female,52,33,Yes
Female,21,5,Yes
Male,32,9,Yes
Male,21,2,Yes
Male,56,34,No
Non-Binary,24,6,No
Male,25,7,Yes
Male,51,36,Yes
Male,43,21,Yes
Female,36,16,Yes
Male,28,10,Yes
Male,59,40,Yes
Female,59,31,Yes
Female,21,0,No
Male,28,9,No
Female,25,4,Yes
Female,38,20,No
Female,52,35,Yes
Male,38,17,Yes
Female,52,33,Yes
Male,64,48,No
Male,49,32,Yes
Female,58,35,No
Non-Binary,32,11,No
Female,37,17,Yes
Female,21,0,Yes
Male,22,5,Yes
Male,25,3,Yes
Male,47,26,Yes
Non-Binary,32,15,Yes
Female,39,17,Yes
Female,51,29,Yes
Male,50,31,Yes
Male,28,6,Yes
Male,22,6,Yes
Male,50,27,Yes
Female,34,7,No
Male,23,5,Yes
Male,36,14,No
Male,64,41,No
Male,50,31,Yes
Female,48,29,Yes
Male,30,7,Yes
Male,51,34,Yes
Male,59,41,Yes
Female,22,7,No
Male,20,0,Yes
Male,27,7,No
Female,60,40,No
Male,36,15,No
Female,27,8,No
Female,62,43,Yes
Male,52,33,No
Male,45,24,Yes
Female,21,0,Yes
Female,48,26,Yes
Female,34,11,No
Male,49,28,Yes
Male,63,47,Yes
Male,31,17,Yes
Male,21,4,No
Male,40,18,Yes
Male,48,29,Yes
Female,48,21,No
Male,35,14,Yes
Male,50,28,Yes
Male,52,37,Yes
Male,21,1,Yes
Female,63,43,No
Female,23,2,Yes
Female,58,37,Yes
Female,24,5,No
Male,21,0,Yes
Male,64,45,Yes
Male,27,11,No
Male,55,35,Yes
Non-Binary,25,4,Yes
Male,60,39,Yes
Male,29,12,Yes
Male,55,35,No
Non-Binary,23,1,No
Male,58,40,No
Male,33,10,Yes
Male,31,10,Yes
Female,36,16,Yes
Male,40,17,Yes
Male,32,6,Yes
Male,52,33,Yes
Male,32,5,No
Female,64,41,No
Male,28,10,Yes
Female,39,20,No
Female,63,42,Yes
Male,59,36,No
Male,20,0,No
Female,32,13,No
Female,41,20,Yes
Male,32,8,No
Male,54,31,No
Female,20,0,No
Male,52,33,Yes
Female,24,4,Yes
Female,49,25,Yes
Male,24,8,Yes
Female,62,39,Yes
Female,44,25,Yes
Male,45,22,No
Male,38,25,Yes
Non-Binary,31,14,Yes
Female,27,4,Yes
Male,29,9,Yes
Female,37,13,Yes
Male,60,38,Yes
Male,30,11,No
Non-Binary,49,31,Yes
Female,24,0,Yes
Female,43,20,No
Female,64,46,Yes
Male,32,15,No
Male,55,32,Yes
Male,46,28,No
Male,51,27,Yes
Female,33,12,Yes
Male,60,36,Yes
Female,21,0,Yes
Male,23,8,No
Male,30,9,Yes
Male,61,40,No
Female,56,34,Yes
Female,57,36,No
Male,56,33,No
Male,32,12,Yes
Female,28,7,No
Female,61,39,No
Female,46,24,No
Male,21,1,No
Male,46,23,Yes
Male,31,10,Yes
Male,31,9,Yes
Male,22,0,Yes
Female,45,27,No
Male,34,8,Yes
Non-Binary,46,20,No
Male,64,46,Yes
Male,54,30,No
Male,32,5,No
Male,24,8,Yes
Male,62,40,No
Male,36,19,Yes
Male,38,15,Yes
Female,39,14,Yes
Female,42,21,No
Male,31,7,Yes
Male,51,32,No
Female,48,30,Yes
Female,24,6,No
Male,62,41,Yes
Male,21,5,No
Male,25,2,Yes
Non-Binary,40,20,Yes
Female,54,33,Yes
Female,34,19,No
Male,37,20,Yes
Female,21,1,No
Male,24,4,No
Female,56,40,Yes
Male,60,37,No
Female,25,0,Yes
Male,61,38,Yes
Male,38,16,Yes
Male,35,19,Yes
Male,31,14,Yes
Female,43,22,No
Male,28,9,No
Male,22,0,Yes
Male,36,22,No
Male,49,32,No
Male,46,26,Yes
Male,43,22,Yes
Male,61,43,No
Non-Binary,58,37,No
Male,26,0,Yes
Male,28,12,Yes
Female,35,18,Yes
Male,30,11,No
Female,28,6,Yes
Non-Binary,20,0,Yes
Male,63,35,No
Male,54,30,No
Male,39,24,Yes
Male,27,8,No
Male,26,0,No
Female,56,33,No
Female,56,30,Yes
Male,39,16,No
Male,24,3,Yes
Male,31,15,No
Male,40,22,Yes
Male,39,18,Yes
Male,24,3,Yes
Female,42,19,No
Female,26,9,Yes
Male,20,3,Yes
Female,44,19,Yes
Female,38,12,No
Female,21,0,No
Male,31,10,No
Male,61,41,No
Male,44,18,Yes
Non-Binary,51,28,No
Female,62,41,Yes
Male,37,14,Yes
Female,50,32,Yes
Male,63,48,Yes
Female,28,6,No
Female,40,22,No
Female,58,36,No
Male,26,3,Yes
Male,32,9,No
Male,39,21,Yes
Male,32,10,Yes
Female,47,25,No
Female,56,32,Yes
Female,44,25,Yes
Male,64,45,Yes
Male,45,29,No
Male,63,44,Yes
Female,52,33,No
Male,59,40,Yes
Male,59,38,Yes
Male,46,26,No
Male,34,16,Yes
Female,22,0,No
Male,48,33,Yes
Female,50,31,No
Male,59,45,Yes
Male,37,13,Yes
Male,43,19,Yes
Female,58,39,No
Male,63,43,Yes
Male,27,5,No
Non-Binary,48,24,No
Male,56,35,Yes
Male,56,36,No
Male,28,4,Yes
Male,64,42,Yes
Male,49,30,Yes
Male,34,16,Yes
Non-Binary,59,38,No
Female,31,8,Yes
Male,60,40,Yes
Male,46,25,No
Male,50,25,Yes
Female,32,10,Yes
Male,34,12,Yes
Female,24,4,No
Female,61,38,No
Male,44,22,Yes
Female,31,10,No
Male,28,9,Yes
Male,45,25,Yes
Male,56,43,No
Male,28,4,No
Female,24,6,Yes
Male,26,5,No
Male,60,35,No
Male,50,28,Yes
Male,63,38,No
Male,56,36,No
Female,26,5,No
Female,24,1,Yes
Male,36,12,No
Male,30,13,Yes
Female,56,35,Yes
Male,55,35,Yes
Female,46,26,No
Female,20,0,Yes
Male,20,0,Yes
Female,33,17,No
Male,47,33,Yes
Male,60,44,Yes
Male,20,0,Yes
Male,27,6,Yes
Male,64,47,No
Male,60,37,No
Female,62,47,No
Male,45,27,Yes
Male,55,34,Yes
Male,48,28,No
Male,59,40,No
Male,64,42,No
Male,23,6,No
Female,61,44,No
Female,21,0,Yes
Male,49,27,No
Male,39,18,No
Male,49,25,Yes
Male,37,11,No
Male,49,27,No
Female,54,31,No
Male,20,5,Yes
Female,22,0,No
Non-Binary,42,23,Yes
Male,64,42,No
Female,59,44,Yes
Female,41,20,No
Male,63,39,No
Male,34,16,No
Female,60,40,No
Female,35,18,Yes
Female,46,25,No
Female,51,31,No
Male,53,28,Yes
Male,61,43,Yes
Male,31,11,Yes
Male,37,16,Yes
Male,37,16,Yes
Female,23,2,No
Male,53,35,No
Female,58,35,Yes
Male,38,20,No
Male,62,37,Yes
Male,64,38,No
Male,50,34,Yes
Non-Binary,50,26,No
Female,61,41,Yes
Male,39,18,Yes
Female,39,20,Yes
Male,51,31,No
Male,39,22,Yes
Male,35,10,Yes
Female,38,20,No
Male,50,29,No
Female,32,7,Yes
Male,39,17,No
Female,62,37,Yes
Female,31,5,No
Male,45,23,Yes
Female,54,37,Yes
Male,60,40,No
Female,29,12,No
Male,31,11,Yes
Male,43,27,No
Male,28,12,Yes
Female,24,1,Yes
Female,50,30,Yes
Male,53,30,No
Male,64,43,Yes
Female,30,14,No
Male,28,6,Yes
Female,41,17,Yes
Male,59,35,Yes
Male,47,25,No
Female,35,26,No
Female,29,13,Yes
Male,53,24,No
Female,34,13,Yes
Male,37,15,No
Female,64,46,Yes
Male,50,26,Yes
Female,24,0,Yes
Male,52,30,Yes
Female,48,25,Yes
Male,22,3,No
Male,42,20,Yes
Male,29,12,Yes
Male,51,28,Yes
Male,46,28,Yes
Male,55,31,No
Male,43,24,Yes
Female,39,17,No
Male,22,4,Yes
Male,24,0,No
Female,22,0,Yes
Female,59,42,Yes
Male,25,4,Yes
Male,34,8,No
Male,25,2,No
Female,42,23,Yes
Male,49,26,Yes
Non-Binary,58,41,No
Male,59,42,Yes
Female,40,22,Yes
Male,64,47,Yes
Male,56,34,No
Female,41,25,No
Female,21,4,No
Male,33,12,Yes
Male,37,12,Yes
Non-Binary,34,6,Yes
Male,56,38,Yes
Male,21,0,Yes
Male,62,39,Yes
Male,39,20,Yes
Male,29,5,Yes
Male,24,11,Yes
Female,51,31,Yes
Male,21,5,No
Female,63,46,Yes
Female,24,0,Yes
Female,40,22,No
Female,37,16,Yes
Female,59,38,No
Male,23,2,Yes
Male,51,34,No
Male,55,39,No
Male,23,0,Yes
Non-Binary,36,16,No
Female,61,45,Yes
Female,52,31,No
Male,41,21,Yes
Female,37,17,Yes
Female,46,32,No
Male,34,16,Yes
Male,44,30,Yes
Female,29,14,No
Male,35,14,Yes
Male,23,3,Yes
Male,50,36,No
Female,51,27,No
Male,43,25,Yes
Male,37,19,Yes
Female,51,30,No
Female,47,25,No
Male,30,9,Yes
Male,27,9,Yes
Male,20,4,No
Male,21,3,Yes
Male,40,16,Yes
Female,38,22,No
Female,61,44,No
Male,49,28,Yes
Male,59,37,No
Male,44,21,Yes
Female,28,11,No
Non-Binary,61,35,Yes
Female,47,30,No
Female,56,34,No
Male,51,31,Yes
Male,60,29,Yes
Male,30,4,No
Male,40,17,Yes
Male,43,20,No
Male,20,2,Yes
Male,35,15,Yes
Female,43,28,No
Male,29,10,Yes
Female,51,29,Yes
Male,47,30,No
Male,52,30,Yes
Female,57,35,No
Female,41,21,Yes
Male,20,4,No
Male,54,37,No
Non-Binary,64,47,No
Male,31,16,Yes
Male,44,26,Yes
Male,47,23,Yes
Male,36,17,No
Male,35,19,Yes
Male,51,26,Yes
Non-Binary,64,43,Yes
Male,23,0,Yes
Female,60,40,Yes
Female,30,13,Yes
Female,39,23,No
Male,45,24,Yes
Male,26,7,Yes
Female,50,25,No
Non-Binary,26,0,Yes
Male,23,6,Yes
Male,27,0,Yes
Non-Binary,33,10,Yes
Female,41,23,No
Male,42,22,Yes
Non-Binary,44,15,Yes
Male,55,36,No
Male,45,22,Yes
Female,43,23,No
Male,37,15,Yes
Male,40,17,Yes
Female,24,0,Yes
Male,34,12,Yes
Male,50,33,Yes
Female,45,23,No
Male,23,1,Yes
Male,23,0,Yes
Male,63,39,Yes
Female,38,15,Yes
Male,45,25,Yes
